"id","location","employee_id","role","start_time","end_time","published","note"
44524,2,679,5,"2018-01-04 10:00:00","2018-01-04 14:45:00",0,""
44525,2,556,2,"2018-01-04 11:30:00","2018-01-04 15:00:00",0,""
44526,2,556,2,"2018-01-04 17:30:00","2018-01-05 01:00:00",0,""
44527,2,554,2,"2018-01-04 12:00:00","2018-01-04 15:00:00",0,""
44529,2,95,10,"2018-01-04 12:00:00","2018-01-04 15:00:00",0,""
44530,2,97,2,"2018-01-04 10:30:00","2018-01-04 15:30:00",0,""
44531,2,96,3,"2018-01-04 12:00:00","2018-01-04 18:00:00",0,""
44532,2,664,8,"2018-01-04 11:00:00","2018-01-04 23:00:00",0,""
44533,2,658,5,"2018-01-04 18:00:00","2018-01-04 20:30:00",0,""
44534,2,486,3,"2018-01-04 10:30:00","2018-01-04 15:00:00",0,""
44535,2,531,2,"2018-01-04 18:30:00","2018-01-05 00:00:00",0,""
44536,2,427,2,"2018-01-05 11:30:00","2018-01-05 14:30:00",0,""
44538,2,641,2,"2018-01-05 10:30:00","2018-01-05 15:30:00",0,""
44539,2,96,3,"2018-01-05 12:00:00","2018-01-05 20:30:00",0,""
44543,2,106,2,"2018-01-05 12:00:00","2018-01-05 15:00:00",0,""
44546,2,94,2,"2018-01-05 12:30:00","2018-01-05 15:00:00",0,""
44548,2,650,6,"2018-01-05 11:30:00","2018-01-05 15:00:00",0,""
44549,2,679,5,"2018-01-05 10:00:00","2018-01-05 14:45:00",0,""
44551,2,552,7,"2018-01-05 10:30:00","2018-01-05 15:00:00",0,""
44553,2,471,2,"2018-01-05 18:00:00","2018-01-06 01:00:00",0,""
44554,2,95,10,"2018-01-05 10:30:00","2018-01-05 14:30:00",0,""
44555,2,486,11,"2018-01-05 11:00:00","2018-01-05 15:00:00",0,""
44556,2,112,3,"2018-01-05 18:30:00","2018-01-06 01:00:00",0,""
44557,2,91,11,"2018-01-06 10:30:00","2018-01-06 15:30:00",0,""
